Time,Open,High,Low,Close,Volume
2018.01.02 00:00,1309.81,1318.8,1308.4,1317.82,102695
2018.01.03 00:00,1317.27,1321.24,1307.31,1312.78,142284
2018.01.04 00:00,1312.74,1325.84,1305.7,1322.69,151996
2018.01.05 00:00,1321.96,1323.26,1313.55,1319.9,136053
2018.01.08 00:00,1320.69,1322,1314.65,1320.27,112389
2018.01.09 00:00,1319.49,1320.04,1308.26,1312.61,145871
2018.01.10 00:00,1311.82,1327.6,1307.96,1316.59,189476
2018.01.11 00:00,1317.13,1323.79,1315.58,1322.34,160080
2018.01.12 00:00,1322.35,1339.21,1321.62,1338.17,178622
2018.01.15 00:00,1336.05,1344.6,1335.92,1339.93,114118
2018.01.16 00:00,1339.42,1342.13,1331.66,1338.37,172948
2018.01.17 00:00,1339.2,1343.82,1326.28,1326.61,201740
2018.01.18 00:00,1327.51,1332.96,1324.14,1327.04,183343
2018.01.19 00:00,1327.54,1337.86,1326.66,1331.43,174190
2018.01.22 00:00,1335.05,1335.44,1328.27,1333.87,142730
2018.01.23 00:00,1333.4,1341.64,1331.24,1341.11,167286
2018.01.24 00:00,1340.92,1362.02,1339.42,1357.97,196575
2018.01.25 00:00,1357.25,1365.92,1342.33,1348.22,245829
2018.01.26 00:00,1347,1356.96,1344.46,1350,215417
2018.01.29 00:00,1351.03,1352.39,1337.57,1340.32,177086
2018.01.30 00:00,1341.3,1348.9,1334.44,1338.59,207275
2018.01.31 00:00,1337.42,1347.57,1332.75,1344.94,214777
2018.02.01 00:00,1343.39,1350.97,1337.24,1348.39,211212
2018.02.02 00:00,1347.81,1350.06,1327.43,1332.57,233006
2018.02.05 00:00,1331.64,1341.59,1328.99,1339.56,249575
2018.02.06 00:00,1338.91,1346.08,1320.18,1324.4,352486
2018.02.07 00:00,1324.64,1332.3,1311.38,1318.29,259360
2018.02.08 00:00,1317.34,1322.02,1307.04,1318.34,286441
2018.02.09 00:00,1319.11,1322.63,1311.12,1315.64,294243
2018.02.12 00:00,1315.38,1326.69,1315.13,1322.86,145037
2018.02.13 00:00,1323.63,1331.02,1321.59,1328.99,156092
2018.02.14 00:00,1329.72,1355.5,1317.3,1350.14,193377
2018.02.15 00:00,1350.64,1357.07,1348.53,1353.07,175472
2018.02.16 00:00,1353.79,1361.69,1344.71,1347.43,166978
2018.02.19 00:00,1349.69,1351.34,1345.78,1346.6,87111
2018.02.20 00:00,1347.9,1348.09,1328.44,1329.33,141385
2018.02.21 00:00,1329.49,1336.22,1322.14,1324.37,158486
2018.02.22 00:00,1324.39,1332.07,1320.93,1331.85,148392
2018.02.23 00:00,1331.78,1332.13,1325.78,1328.78,120542
2018.02.26 00:00,1329.83,1341,1326.65,1332.93,137233
2018.02.27 00:00,1333.3,1336.7,1313.41,1318.29,156960
2018.02.28 00:00,1318.39,1322.49,1315.59,1318.08,143439
2018.03.01 00:00,1319.02,1321.07,1302.76,1317.16,191255
2018.03.02 00:00,1316.47,1325.42,1315.2,1322.12,162142
2018.03.05 00:00,1323.71,1327.73,1317.53,1319.88,175261
2018.03.06 00:00,1320.55,1338.46,1320.21,1334.3,187973
2018.03.07 00:00,1339.55,1340.37,1322.2,1325.35,206644
2018.03.08 00:00,1325.64,1329,1318.87,1322.14,183041
2018.03.09 00:00,1321.32,1325.14,1312.83,1323.36,181330
2018.03.12 00:00,1322.86,1324.13,1315.04,1322.7,117427
2018.03.13 00:00,1323.54,1328.28,1313.73,1326.31,152139
2018.03.14 00:00,1325.85,1330.01,1321.46,1324.74,143936
2018.03.15 00:00,1323.8,1327.88,1314.93,1316.44,131712
2018.03.16 00:00,1315.92,1321.72,1309.6,1313.47,122528
2018.03.19 00:00,1313.14,1319.58,1307.76,1317.02,128966
2018.03.20 00:00,1317.3,1318.24,1307.17,1311.06,120402
2018.03.21 00:00,1311.54,1336.6,1309.79,1331.8,146322
2018.03.22 00:00,1331.83,1334.86,1324.77,1328.61,167242
2018.03.23 00:00,1330.61,1350.2,1330.61,1347.51,174572
2018.03.26 00:00,1348.15,1355.87,1343.46,1353.44,136353
2018.03.27 00:00,1352.9,1356.84,1339.84,1344.59,143930
2018.03.28 00:00,1345.61,1346.99,1323.44,1324.83,175573
2018.03.29 00:00,1324.36,1328.3,1321.21,1325.04,144155
2018.04.02 00:00,1325.8,1344.84,1324.81,1341.04,139842
2018.04.03 00:00,1340.61,1342.45,1328.88,1332.54,162340
2018.04.04 00:00,1332.58,1348.22,1331.49,1333.24,177158
2018.04.05 00:00,1333.1,1334.85,1322.72,1326.37,144548
2018.04.06 00:00,1327.25,1335.42,1319.5,1332.69,191028
2018.04.09 00:00,1333.49,1337.95,1326.85,1336.06,152343
2018.04.10 00:00,1336.61,1342.53,1331.06,1339.08,167225
2018.04.11 00:00,1339.54,1365.2,1339.49,1353.08,184524
2018.04.12 00:00,1352.57,1353.15,1333.71,1334.87,179163
2018.04.13 00:00,1335.54,1347.1,1333.05,1345.07,155453
2018.04.16 00:00,1342.69,1350.48,1340.11,1345.59,141294
2018.04.17 00:00,1345.89,1349.36,1337.65,1347.17,141914
2018.04.18 00:00,1347.12,1355.67,1342.27,1349.21,148657
2018.04.19 00:00,1349.17,1354.65,1340.93,1345.7,167626
2018.04.20 00:00,1345.68,1346.15,1334.94,1335.44,137528
2018.04.23 00:00,1334.69,1335.43,1322.11,1324.76,142291
2018.04.24 00:00,1324.78,1332.64,1322.11,1330.77,150220
2018.04.25 00:00,1330.06,1332.03,1318.76,1322.88,132330
2018.04.26 00:00,1322.09,1326.57,1315.26,1317.01,137840
2018.04.27 00:00,1317.36,1325.19,1315.37,1322.91,124453
2018.04.30 00:00,1322.78,1324.88,1310.18,1314.98,119509
2018.05.01 00:00,1316.11,1316.32,1301.74,1304,121515
2018.05.02 00:00,1304.61,1313.43,1303.88,1304.92,164714
2018.05.03 00:00,1305.61,1318.06,1305.39,1312.19,161484
2018.05.04 00:00,1312.34,1315.32,1307.93,1314.6,138486
2018.05.07 00:00,1314.89,1318.86,1310.21,1314.2,117778
2018.05.08 00:00,1314.3,1317.77,1305.92,1314.67,157331
2018.05.09 00:00,1314.99,1317.38,1304.28,1312.36,150024
2018.05.10 00:00,1312.19,1322.82,1310.72,1321.05,151321
2018.05.11 00:00,1321.28,1325.9,1316.86,1317.93,121865
2018.05.14 00:00,1318.11,1322.29,1312.91,1313.13,113839
2018.05.15 00:00,1314.14,1314.84,1288.66,1290.77,155008
2018.05.16 00:00,1290.69,1296.87,1286.38,1290.48,149270
2018.05.17 00:00,1290.96,1294.34,1284.93,1290.77,141985
2018.05.18 00:00,1290.49,1294.18,1286.06,1292.48,119227
2018.05.21 00:00,1291.52,1293.12,1282,1292.48,122414
2018.05.22 00:00,1292.62,1296.09,1287.9,1291.02,125944
2018.05.23 00:00,1291.23,1298.28,1287.54,1293.18,169357
2018.05.24 00:00,1293.9,1306.59,1292.72,1304.25,146932
2018.05.25 00:00,1304.84,1307.75,1299.83,1300.52,145825
2018.05.28 00:00,1299.41,1300.3,1295.48,1298.02,94074
2018.05.29 00:00,1297.64,1306.57,1292.48,1298.64,188420
2018.05.30 00:00,1299.68,1304.28,1295.86,1301.55,187898
2018.05.31 00:00,1301.7,1306.43,1297.26,1298.24,173786
2018.06.01 00:00,1298.89,1300.54,1289.34,1293.27,148261
2018.06.04 00:00,1293.04,1298.08,1290.15,1291.81,104577
2018.06.05 00:00,1292.18,1300.5,1289.69,1296.49,98666
2018.06.06 00:00,1296.84,1301.76,1293.73,1295.95,110358
2018.06.07 00:00,1296.61,1303.09,1294.82,1296.71,121194
2018.06.08 00:00,1297.3,1300.51,1292.05,1298.6,109534
2018.06.11 00:00,1299.1,1302.2,1294.02,1300.35,92191
2018.06.12 00:00,1299.92,1300.23,1292.76,1295.52,101366
2018.06.13 00:00,1295.44,1301.2,1291.82,1299.46,95965
2018.06.14 00:00,1299.85,1309.28,1297.48,1302.25,120986
2018.06.15 00:00,1302.16,1303.07,1275.33,1280.19,129635
2018.06.18 00:00,1279.13,1282.39,1276.99,1278.2,85770
2018.06.19 00:00,1278.88,1283.99,1270.31,1274.46,111361
2018.06.20 00:00,1274.94,1276.38,1267.56,1267.56,94062
2018.06.21 00:00,1268.05,1270.06,1261.29,1267.24,100259
2018.06.22 00:00,1267.38,1271.03,1266.58,1269.21,91278
2018.06.25 00:00,1271.37,1272.56,1264.4,1265.32,85791
2018.06.26 00:00,1266.04,1267.61,1254.71,1258.45,96050
2018.06.27 00:00,1258.44,1260.05,1250.59,1251.79,120000
2018.06.28 00:00,1252.31,1254.24,1245.84,1248.14,107112
